customerID,MonthlyCharges,Contract,Churn,PredictedRisk
7590-VHVEG,29.85,Month-to-month,0,0.8044972342477997
5575-GNVDE,56.95,One year,0,0.11810320576725611
3668-QPYBK,53.85,Month-to-month,1,0.5304472770858797
7795-CFOCW,42.3,One year,0,0.08158080703781079
9237-HQITU,70.7,Month-to-month,1,0.85444607053428
9305-CDSKC,99.65,Month-to-month,1,0.9090085062364152
1452-KIOVK,89.1,Month-to-month,0,0.7192073450446652
6713-OKOMC,29.75,Month-to-month,0,0.523232553860213
7892-POOKP,104.8,Month-to-month,1,0.8169562555067827
6388-TABGU,56.15,One year,0,0.03373125264159516
9763-GRSKD,49.95,Month-to-month,0,0.4110492096174715
7469-LKBCI,18.95,Two year,0,0.072337525650656
8091-TTVAX,100.35,One year,0,0.3920011109227045
0280-XJGEX,103.7,Month-to-month,1,0.6827525655914273
5129-JLPIS,105.5,Month-to-month,0,0.710476525078417
3655-SNQYZ,113.25,Two year,0,0.08576238683409255
8191-XWSZG,20.65,One year,0,0.03312182788888826
9959-WOFKT,106.7,Two year,0,0.10842608313856866
4190-MFLUW,55.2,Month-to-month,1,0.3453433489927776
4183-MYFRB,90.05,Month-to-month,0,0.784267540770999
8779-QRDMV,39.65,Month-to-month,1,0.8750860018803625
1680-VDCWW,19.8,One year,0,0.15783819031181426
1066-JKSGK,20.15,Month-to-month,1,0.3901552014603747
3638-WEABW,59.9,Two year,0,0.04740635894696434
6322-HRPFA,59.6,Month-to-month,0,0.08057303256140855
6865-JZNKO,55.3,Month-to-month,0,0.26969829167810394
6467-CHFZW,99.35,Month-to-month,1,0.7354218611359413
8665-UTDHZ,30.2,Month-to-month,1,0.7054594287588561
5248-YGIJN,90.25,Two year,0,0.04549515098818979
8773-HHUOZ,64.7,Month-to-month,1,0.5990628362694197
3841-NFECX,96.35,Two year,0,0.07544348896405965
4929-XIHVW,95.5,Month-to-month,0,0.8801726992510401
6827-IEAUQ,66.15,One year,0,0.08049262580385601
7310-EGVHZ,20.2,Month-to-month,0,0.3775982352970102
3413-BMNZE,45.25,Month-to-month,0,0.6173033007623723
6234-RAAPL,99.9,Two year,0,0.05368242622301062
6047-YHPVI,69.7,Month-to-month,1,0.8481127489951451
6572-ADKRS,74.8,Month-to-month,0,0.5017023236194942
5380-WJKOV,106.35,Month-to-month,1,0.816555923309204
8168-UQWWF,97.85,Month-to-month,1,0.865540023273637
8865-TNMNX,49.55,One year,0,0.26113596869710287
9489-DEDVP,69.2,Two year,0,0.0342654234921492
9867-JCZSP,20.75,One year,0,0.109836546507599
4671-VJLCL,79.85,Two year,0,0.038229544641363196
4080-IIARD,76.2,Month-to-month,0,0.542629158261863
3714-NTNFO,84.5,Month-to-month,0,0.7064288175608432
5948-UJZLF,49.25,Month-to-month,0,0.5499489147204217
7760-OYPDY,80.65,Month-to-month,1,0.8793783845759967
7639-LIAYI,79.75,Two year,0,0.086421803193376
2954-PIBKO,64.15,Two year,0,0.020289325763046016
8012-SOUDQ,90.25,Month-to-month,0,0.7476182279667843
9420-LOJKX,99.1,Month-to-month,1,0.7186025167647772
6575-SUVOI,69.5,Month-to-month,0,0.43244164359668535
7495-OOKFY,80.65,Month-to-month,1,0.8072678948740445
4667-QONEA,74.85,One year,0,0.06175521894158551
1658-BYGOY,95.45,Month-to-month,1,0.904371887924781
8769-KKTPH,99.65,One year,0,0.30422950018611467
5067-XJQFU,108.45,One year,0,0.41629891061803453
3957-SQXML,24.95,Two year,0,0.03563439220534774
5954-BDFSG,107.5,Two year,0,0.18654781093080827
0434-CSFON,100.5,Month-to-month,0,0.7860373804309119
1215-FIGMP,89.9,Month-to-month,0,0.53014984688649
0526-SXDJP,42.1,Two year,0,0.01907856076310806
0557-ASKVU,54.4,One year,0,0.21450198285559352
5698-BQJOH,94.4,Month-to-month,1,0.8788262519795802
5122-CYFXA,75.3,Month-to-month,0,0.714532985703175
8627-ZYGSZ,78.9,One year,0,0.46077066420688634
3410-YOQBQ,79.2,Two year,0,0.11240350707296438
3170-NMYVV,20.15,Two year,0,0.013805800198698346
7410-OIEDU,79.85,Month-to-month,0,0.6859011545608313
2273-QCKXA,49.05,Month-to-month,0,0.5123217596575506
0731-EBJQB,20.4,One year,0,0.05306860963926185
1891-QRQSA,111.6,Two year,0,0.15588160698292433
8028-PNXHQ,24.25,Two year,0,0.01631602242137706
5630-AHZIL,64.5,Month-to-month,0,0.4534861179916718
2673-CXQEU,110.5,One year,0,0.41554505831307503
6416-JNVRK,55.65,One year,0,0.1494461531493564
5590-ZSKRV,54.65,Month-to-month,0,0.3372885802261172
0191-ZHSKZ,74.75,Month-to-month,0,0.5453966794850156
3887-PBQAO,25.9,One year,0,0.06239419753153754
5919-TMRGD,79.35,Month-to-month,1,0.8604240762668901
8108-UXRQN,50.55,Month-to-month,0,0.6640134042476971
9191-MYQKX,75.15,Month-to-month,1,0.7671347759941132
9919-YLNNG,103.8,Month-to-month,0,0.5788688288193218
0318-ZOPWS,20.15,Two year,0,0.0253790796151302
4445-ZJNMU,99.3,Month-to-month,0,0.8579043298648598
4808-YNLEU,62.15,One year,0,0.18878248303506173
1862-QRWPE,20.65,Two year,0,0.015348554209059022
2796-NNUFI,19.95,Two year,0,0.024312237710144773
3016-KSVCP,33.75,Month-to-month,0,0.5189349655542225
4767-HZZHQ,82.05,Month-to-month,0,0.45431957858105687
2424-WVHPL,74.7,Month-to-month,0,0.7883462793397189
7233-PAHHL,84.0,Two year,0,0.05288567631089513
6067-NGCEU,111.05,Month-to-month,0,0.48568715369961085
9848-JQJTX,100.9,Two year,0,0.23501840332441673
8637-XJIVR,78.95,Month-to-month,1,0.7885587078395352
9803-FTJCG,66.85,One year,0,0.03573724167617399
0278-YXOOG,21.05,Month-to-month,1,0.34691132527554996
3212-KXOCR,21.0,Two year,0,0.016294546965502574
4598-XLKNJ,98.5,Month-to-month,1,0.8406756526696116
6380-ARCEH,20.2,Month-to-month,0,0.3898903602522685
3679-XASPY,19.45,Month-to-month,0,0.41913034915673647
7123-WQUHX,95.0,One year,0,0.36529536273927643
5386-THSLQ,45.55,One year,0,0.10576852682372817
3192-NQECA,110.0,Two year,1,0.19888520583730662
6180-YBIQI,24.3,Month-to-month,0,0.6792779495647783
6728-DKUCO,104.15,One year,0,0.31228046909065804
9750-BOOHV,30.15,One year,0,0.17720064065443955
8597-CWYHH,94.35,One year,0,0.4992406715349002
2848-YXSMW,19.4,Two year,0,0.00576346907901426
0486-HECZI,96.75,Month-to-month,1,0.5645985347449826
4549-ZDQYY,57.95,One year,0,0.04939712159857462
5712-AHQNN,91.65,Month-to-month,0,0.655408399086952
4846-WHAFZ,76.5,Month-to-month,1,0.7502970838871785
5256-SKJGO,54.6,Two year,0,0.08588166070065828
3071-VBYPO,89.85,Month-to-month,0,0.7058017332065325
9560-BBZXK,31.05,Two year,0,0.07813292148207931
5299-RULOA,100.25,Month-to-month,1,0.8399492226028837
8402-OOOHJ,20.65,Two year,0,0.026086161448780495
9445-ZUEQE,85.2,Month-to-month,0,0.5427343138365252
1091-SOZGA,99.8,One year,0,0.4268997872623306
2928-HLDBA,20.7,Month-to-month,0,0.33105230967678917
0404-SWRVG,74.4,Month-to-month,1,0.8845080569138487
6497-TILVL,50.7,Month-to-month,0,0.3738544767090624
7219-TLZHO,20.85,Month-to-month,0,0.3024140654704444
4622-YNKIJ,88.95,Two year,0,0.2670928253479421
4412-YLTKF,78.05,Month-to-month,1,0.8056060583455239
6734-PSBAW,23.55,Two year,0,0.014001182950254555
3930-ZGWVE,19.75,Month-to-month,0,0.392276251331761
2639-UGMAZ,56.45,One year,0,0.17201972791607606
2876-GZYZC,85.95,Month-to-month,0,0.8759141023099458
6207-WIOLX,58.6,Month-to-month,1,0.49804078484171616
8587-XYZSF,50.55,Two year,0,0.020367049024307606
3091-FYHKI,35.45,Month-to-month,1,0.8610692166587369
2372-HWUHI,44.35,Month-to-month,1,0.669831531174545
7799-LGRDP,25.7,Two year,0,0.04213879453421225
7850-VWJUU,75.0,Month-to-month,0,0.580543255006862
3774-VBNXY,20.2,Two year,0,0.008210106955784835
6217-KDYWC,19.6,Two year,0,0.01583629885213319
0390-DCFDQ,70.45,Month-to-month,1,0.8358385400303989
3146-MSEGF,88.05,Two year,0,0.04342892128120438
4080-OGPJL,71.15,Month-to-month,1,0.5383898874963515
1095-WGNGG,101.05,Two year,0,0.2572841585430718
2636-SJDOU,84.3,One year,0,0.18854071469965777
1131-QQZEB,23.95,Two year,0,0.012200077098184972
5716-EZXZN,99.05,Two year,0,0.08584448919899895
6837-BJYDQ,19.6,One year,0,0.22287316421206194
2135-RXIHG,45.65,Month-to-month,1,0.7413227004867322
6440-DKQGE,64.5,One year,0,0.17262299173144677
3466-BYAVD,69.5,Month-to-month,0,0.43991420675193715
3780-YVMFA,68.55,Month-to-month,0,0.6780404762263409
3874-EQOEP,95.0,Month-to-month,1,0.8458778641208767
1679-JRFBR,108.15,One year,0,0.2699681338625964
9073-ZZIAY,86.1,Two year,0,0.03778280423961677
3077-RSNTJ,19.7,Month-to-month,0,0.2906790762327873
6551-GNYDG,80.9,Month-to-month,0,0.7407653572167829
9167-APMXZ,84.15,Month-to-month,0,0.7819001433766157
2749-CTKAJ,20.15,One year,0,0.09296650089153903
6371-NZYEG,64.25,Two year,0,0.11852144085537585
7554-NEWDD,25.7,Two year,0,0.1098803163080103
8992-VONJD,56.0,Month-to-month,0,0.4468634495377219
0867-MKZVY,82.4,Month-to-month,1,0.6657501189121096
4482-EWFMI,69.7,Month-to-month,0,0.856800731700571
4648-YPBTM,73.9,Two year,0,0.08004174534164836
2907-ILJBN,20.6,One year,0,0.13593368822697538
6345-FZOQH,19.9,Two year,0,0.00867003108046861
3376-BMGFE,70.9,Month-to-month,1,0.7854733020342466
5997-OPVFA,89.05,Two year,0,0.0457081701574278
3445-HXXGF,45.3,Month-to-month,1,0.42282617091885005
1159-WFSGR,20.4,Month-to-month,0,0.27298384739513465
7654-YWJUF,84.25,One year,0,0.21350237599108426
1875-QIVME,104.4,Month-to-month,1,0.8935383157799202
6727-IOTLZ,81.95,Two year,0,0.17318275331954544
0691-JVSYA,94.85,One year,1,0.43371516912892716
5918-VUKWP,20.55,One year,0,0.07082620373353689
1744-JHKYS,24.7,Month-to-month,0,0.2248758961774633
2656-FMOKZ,74.45,Month-to-month,1,0.8086130601448065
